,relationship,from_country,to_country,contest_year,total_points,point_ratio,avg_point_ratio
12200,Switzerland-United Kingdom,Switzerland,United Kingdom,1993,5,0.41666666666666666667,0.28961748633879781421
12201,Switzerland-Switzerland,Switzerland,Switzerland,1993,0,0E-20,0E-20
12202,Switzerland-France,Switzerland,France,1993,4,0.33333333333333333333,0.26319444444444444444
12203,Switzerland-Norway,Switzerland,Norway,1993,10,0.83333333333333333333,0.15509259259259259259
12204,Switzerland-Netherlands,Switzerland,Netherlands,1993,0,0E-20,0.21938775510204081633
12205,Switzerland-Sweden,Switzerland,Sweden,1993,8,0.66666666666666666667,0.24269005847953216374
12206,Switzerland-Malta,Switzerland,Malta,1993,7,0.58333333333333333333,0.18939393939393939394
12207,Switzerland-Greece,Switzerland,Greece,1993,0,0E-20,0.19369369369369369369
12208,Switzerland-Portugal,Switzerland,Portugal,1993,0,0E-20,0.24491869918699186992
12209,Switzerland-Spain,Switzerland,Spain,1993,6,0.50000000000000000000,0.25646551724137931034
12210,Switzerland-Italy,Switzerland,Italy,1993,1,0.08333333333333333333,0.34574468085106382979
12211,Switzerland-Iceland,Switzerland,Iceland,1993,0,0E-20,0.15217391304347826087
12212,Switzerland-Austria,Switzerland,Austria,1993,0,0E-20,0.13981481481481481481
12213,Switzerland-Croatia,Switzerland,Croatia,1993,3,0.25000000000000000000,0.26111111111111111111
12214,Switzerland-Bosnia & Herzegovina,Switzerland,Bosnia & Herzegovina,1993,0,0E-20,0.33333333333333333333
12215,Switzerland-Finland,Switzerland,Finland,1993,0,0E-20,0.12760416666666666667
12216,Switzerland-Germany,Switzerland,Germany,1993,2,0.16666666666666666667,0.23565573770491803279
12217,Switzerland-Cyprus,Switzerland,Cyprus,1993,0,0E-20,0.12356321839080459770
12218,Switzerland-Luxembourg,Switzerland,Luxembourg,1993,0,0E-20,0.12268518518518518519
12219,Switzerland-Turkey,Switzerland,Turkey,1993,0,0E-20,0.29885057471264367816
12220,Switzerland-Denmark,Switzerland,Denmark,1993,0,0E-20,0.07825203252032520325
12221,Switzerland-Slovenia,Switzerland,Slovenia,1993,0,0E-20,0.01388888888888888889
12222,Switzerland-Israel,Switzerland,Israel,1993,0,0E-20,0.34313725490196078431
12223,Switzerland-Belgium,Switzerland,Belgium,1993,0,0E-20,0.11916666666666666667
12224,Turkey-Ireland,Turkey,Ireland,1993,1,0.08333333333333333333,0.34195402298850574713
12225,Turkey-United Kingdom,Turkey,United Kingdom,1993,8,0.66666666666666666667,0.30882352941176470588
12226,Turkey-Switzerland,Turkey,Switzerland,1993,0,0E-20,0.20833333333333333333
12227,Turkey-France,Turkey,France,1993,7,0.58333333333333333333,0.09595959595959595960
12228,Turkey-Norway,Turkey,Norway,1993,10,0.83333333333333333333,0.13709677419354838710
12229,Turkey-Netherlands,Turkey,Netherlands,1993,6,0.50000000000000000000,0.28787878787878787879
12230,Turkey-Sweden,Turkey,Sweden,1993,0,0E-20,0.21212121212121212121
12231,Turkey-Malta,Turkey,Malta,1993,5,0.41666666666666666667,0.36111111111111111111
12232,Turkey-Greece,Turkey,Greece,1993,2,0.16666666666666666667,0.19345238095238095238
12233,Turkey-Portugal,Turkey,Portugal,1993,0,0E-20,0.15064102564102564103
12234,Turkey-Spain,Turkey,Spain,1993,0,0E-20,0.28921568627450980392
12235,Turkey-Italy,Turkey,Italy,1993,0,0E-20,0.39583333333333333333
12236,Turkey-Iceland,Turkey,Iceland,1993,0,0E-20,0.09126984126984126984
12237,Turkey-Austria,Turkey,Austria,1993,4,0.33333333333333333333,0.24652777777777777778
12238,Turkey-Croatia,Turkey,Croatia,1993,0,0E-20,0.27777777777777777778
12239,Turkey-Bosnia & Herzegovina,Turkey,Bosnia & Herzegovina,1993,12,1.00000000000000000000,0.63235294117647058823
12240,Turkey-Finland,Turkey,Finland,1993,3,0.25000000000000000000,0.11000000000000000000
12241,Turkey-Germany,Turkey,Germany,1993,0,0E-20,0.21717171717171717172
12242,Turkey-Cyprus,Turkey,Cyprus,1993,0,0E-20,0.00347222222222222222
12243,Turkey-Luxembourg,Turkey,Luxembourg,1993,0,0E-20,0.13541666666666666667
12244,Turkey-Turkey,Turkey,Turkey,1993,0,0E-20,0E-20
12245,Turkey-Denmark,Turkey,Denmark,1993,0,0E-20,0.07440476190476190476
12246,Turkey-Slovenia,Turkey,Slovenia,1993,0,0E-20,0.11363636363636363636
12247,Turkey-Israel,Turkey,Israel,1993,0,0E-20,0.16025641025641025641
12248,Turkey-Belgium,Turkey,Belgium,1993,0,0E-20,0.21000000000000000000
12249,United Kingdom-Ireland,United Kingdom,Ireland,1993,12,1.00000000000000000000,0.45648148148148148148
12250,United Kingdom-United Kingdom,United Kingdom,United Kingdom,1993,0,0E-20,0E-20
12251,United Kingdom-Switzerland,United Kingdom,Switzerland,1993,10,0.83333333333333333333,0.27916666666666666667
12252,United Kingdom-France,United Kingdom,France,1993,4,0.33333333333333333333,0.17261904761904761905
12253,United Kingdom-Norway,United Kingdom,Norway,1993,0,0E-20,0.17959770114942528736
12254,United Kingdom-Netherlands,United Kingdom,Netherlands,1993,0,0E-20,0.17483660130718954248
12255,United Kingdom-Sweden,United Kingdom,Sweden,1993,7,0.58333333333333333333,0.31319444444444444444
12256,United Kingdom-Malta,United Kingdom,Malta,1993,6,0.50000000000000000000,0.33974358974358974359
12257,United Kingdom-Greece,United Kingdom,Greece,1993,0,0E-20,0.25416666666666666667
12258,United Kingdom-Portugal,United Kingdom,Portugal,1993,1,0.08333333333333333333,0.09444444444444444444
12259,United Kingdom-Spain,United Kingdom,Spain,1993,0,0E-20,0.12163978494623655914
12260,United Kingdom-Italy,United Kingdom,Italy,1993,0,0E-20,0.13315217391304347826
12261,United Kingdom-Iceland,United Kingdom,Iceland,1993,2,0.16666666666666666667,0.26543209876543209877
12262,United Kingdom-Austria,United Kingdom,Austria,1993,3,0.25000000000000000000,0.21010638297872340426
12263,United Kingdom-Croatia,United Kingdom,Croatia,1993,8,0.66666666666666666667,0.07894736842105263158
12264,United Kingdom-Bosnia & Herzegovina,United Kingdom,Bosnia & Herzegovina,1993,0,0E-20,0.01851851851851851852
12265,United Kingdom-Finland,United Kingdom,Finland,1993,0,0E-20,0.14496527777777777778
12266,United Kingdom-Germany,United Kingdom,Germany,1993,0,0E-20,0.22070312500000000000
12267,United Kingdom-Cyprus,United Kingdom,Cyprus,1993,5,0.41666666666666666667,0.20833333333333333333
12268,United Kingdom-Luxembourg,United Kingdom,Luxembourg,1993,0,0E-20,0.20714285714285714286
12269,United Kingdom-Turkey,United Kingdom,Turkey,1993,0,0E-20,0.23737373737373737374
12270,United Kingdom-Denmark,United Kingdom,Denmark,1993,0,0E-20,0.24903100775193798450
12271,United Kingdom-Slovenia,United Kingdom,Slovenia,1993,0,0E-20,0.08593750000000000000
12272,United Kingdom-Israel,United Kingdom,Israel,1993,0,0E-20,0.28837719298245614035
12273,United Kingdom-Belgium,United Kingdom,Belgium,1993,0,0E-20,0.19551282051282051282
12274,Austria-Ireland,Austria,Ireland,1994,10,0.83333333333333333333,0.38888888888888888889
12275,Austria-Poland,Austria,Poland,1994,12,1.00000000000000000000,0.27564102564102564103
12276,Austria-Germany,Austria,Germany,1994,2,0.16666666666666666667,0.21604938271604938272
12277,Austria-Hungary,Austria,Hungary,1994,8,0.66666666666666666667,0.16346153846153846154
12278,Austria-Malta,Austria,Malta,1994,0,0E-20,0.21428571428571428571
12279,Austria-Norway,Austria,Norway,1994,0,0E-20,0.12152777777777777778
12280,Austria-France,Austria,France,1994,7,0.58333333333333333333,0.22916666666666666667
12281,Austria-Portugal,Austria,Portugal,1994,0,0E-20,0.10532407407407407407
12282,Austria-Russia,Austria,Russia,1994,6,0.50000000000000000000,0.23039215686274509804
12283,Austria-United Kingdom,Austria,United Kingdom,1994,1,0.08333333333333333333,0.30632716049382716049
12284,Austria-Cyprus,Austria,Cyprus,1994,0,0E-20,0.04583333333333333333
12285,Austria-Iceland,Austria,Iceland,1994,3,0.25000000000000000000,0.18478260869565217391
12286,Austria-Sweden,Austria,Sweden,1994,5,0.41666666666666666667,0.27804487179487179487
12287,Austria-Greece,Austria,Greece,1994,0,0E-20,0.11616161616161616162
12288,Austria-Bosnia & Herzegovina,Austria,Bosnia & Herzegovina,1994,0,0E-20,0.47435897435897435897
12289,Austria-Croatia,Austria,Croatia,1994,0,0E-20,0.27380952380952380953
12290,Austria-Austria,Austria,Austria,1994,0,0E-20,0E-20
12291,Austria-Spain,Austria,Spain,1994,0,0E-20,0.13316993464052287582
12292,Austria-Switzerland,Austria,Switzerland,1994,0,0E-20,0.27651515151515151515
12293,Austria-Slovakia,Austria,Slovakia,1994,0,0E-20,0E-20
12294,Austria-Romania,Austria,Romania,1994,0,0E-20,0.19642857142857142857
12295,Austria-Finland,Austria,Finland,1994,0,0E-20,0.09687500000000000000
12296,Austria-Netherlands,Austria,Netherlands,1994,4,0.33333333333333333333,0.22685185185185185185
12297,Austria-Estonia,Austria,Estonia,1994,0,0E-20,0.15000000000000000000
12298,Austria-Lithuania,Austria,Lithuania,1994,0,0E-20,0.03525641025641025641
12299,Bosnia & Herzegovina-Ireland,Bosnia & Herzegovina,Ireland,1994,10,0.83333333333333333333,0.26785714285714285714
12300,Bosnia & Herzegovina-Poland,Bosnia & Herzegovina,Poland,1994,8,0.66666666666666666667,0.20833333333333333333
12301,Bosnia & Herzegovina-Germany,Bosnia & Herzegovina,Germany,1994,7,0.58333333333333333333,0.15277777777777777778
12302,Bosnia & Herzegovina-Hungary,Bosnia & Herzegovina,Hungary,1994,3,0.25000000000000000000,0.04687500000000000000
12303,Bosnia & Herzegovina-Malta,Bosnia & Herzegovina,Malta,1994,12,1.00000000000000000000,0.25555555555555555555
12304,Bosnia & Herzegovina-Norway,Bosnia & Herzegovina,Norway,1994,6,0.50000000000000000000,0.17777777777777777778
12305,Bosnia & Herzegovina-France,Bosnia & Herzegovina,France,1994,2,0.16666666666666666667,0.23464912280701754386
12306,Bosnia & Herzegovina-Portugal,Bosnia & Herzegovina,Portugal,1994,0,0E-20,0.01515151515151515151
12307,Bosnia & Herzegovina-Russia,Bosnia & Herzegovina,Russia,1994,0,0E-20,0.12239583333333333333
12308,Bosnia & Herzegovina-United Kingdom,Bosnia & Herzegovina,United Kingdom,1994,4,0.33333333333333333333,0.14473684210526315789
12309,Bosnia & Herzegovina-Cyprus,Bosnia & Herzegovina,Cyprus,1994,0,0E-20,0E-20
12310,Bosnia & Herzegovina-Iceland,Bosnia & Herzegovina,Iceland,1994,0,0E-20,0.00595238095238095238
12311,Bosnia & Herzegovina-Sweden,Bosnia & Herzegovina,Sweden,1994,0,0E-20,0.24074074074074074074
12312,Bosnia & Herzegovina-Greece,Bosnia & Herzegovina,Greece,1994,0,0E-20,0.20588235294117647059
12313,Bosnia & Herzegovina-Bosnia & Herzegovina,Bosnia & Herzegovina,Bosnia & Herzegovina,1994,0,0E-20,0E-20
12314,Bosnia & Herzegovina-Croatia,Bosnia & Herzegovina,Croatia,1994,0,0E-20,0.60000000000000000000
12315,Bosnia & Herzegovina-Austria,Bosnia & Herzegovina,Austria,1994,5,0.41666666666666666667,0.28409090909090909091
12316,Bosnia & Herzegovina-Spain,Bosnia & Herzegovina,Spain,1994,0,0E-20,0.13157894736842105263
12317,Bosnia & Herzegovina-Switzerland,Bosnia & Herzegovina,Switzerland,1994,0,0E-20,0.04166666666666666667
12318,Bosnia & Herzegovina-Slovakia,Bosnia & Herzegovina,Slovakia,1994,0,0E-20,0E-20
12319,Bosnia & Herzegovina-Romania,Bosnia & Herzegovina,Romania,1994,0,0E-20,0.09027777777777777778
12320,Bosnia & Herzegovina-Finland,Bosnia & Herzegovina,Finland,1994,1,0.08333333333333333333,0.10185185185185185185
12321,Bosnia & Herzegovina-Netherlands,Bosnia & Herzegovina,Netherlands,1994,0,0E-20,0.16666666666666666667
12322,Bosnia & Herzegovina-Estonia,Bosnia & Herzegovina,Estonia,1994,0,0E-20,0.15000000000000000000
12323,Bosnia & Herzegovina-Lithuania,Bosnia & Herzegovina,Lithuania,1994,0,0E-20,0.01666666666666666667
12324,Croatia-Ireland,Croatia,Ireland,1994,12,1.00000000000000000000,0.19675925925925925926
12325,Croatia-Poland,Croatia,Poland,1994,8,0.66666666666666666667,0.05952380952380952381
12326,Croatia-Germany,Croatia,Germany,1994,10,0.83333333333333333333,0.10339506172839506173
12327,Croatia-Hungary,Croatia,Hungary,1994,5,0.41666666666666666667,0.25694444444444444444
12328,Croatia-Malta,Croatia,Malta,1994,7,0.58333333333333333333,0.34791666666666666667
12329,Croatia-Norway,Croatia,Norway,1994,3,0.25000000000000000000,0.17361111111111111111
12330,Croatia-France,Croatia,France,1994,0,0E-20,0.13095238095238095238
12331,Croatia-Portugal,Croatia,Portugal,1994,0,0E-20,0.13480392156862745098
12332,Croatia-Russia,Croatia,Russia,1994,1,0.08333333333333333333,0.29375000000000000000
12333,Croatia-United Kingdom,Croatia,United Kingdom,1994,6,0.50000000000000000000,0.19345238095238095238
12334,Croatia-Cyprus,Croatia,Cyprus,1994,0,0E-20,0.17708333333333333333
12335,Croatia-Iceland,Croatia,Iceland,1994,0,0E-20,0.09429824561403508772
12336,Croatia-Sweden,Croatia,Sweden,1994,0,0E-20,0.12500000000000000000
12337,Croatia-Greece,Croatia,Greece,1994,0,0E-20,0.18297101449275362319
12338,Croatia-Bosnia & Herzegovina,Croatia,Bosnia & Herzegovina,1994,4,0.33333333333333333333,0.66666666666666666667
12339,Croatia-Croatia,Croatia,Croatia,1994,0,0E-20,0E-20
12340,Croatia-Austria,Croatia,Austria,1994,2,0.16666666666666666667,0.07500000000000000000
12341,Croatia-Spain,Croatia,Spain,1994,0,0E-20,0.13541666666666666667
12342,Croatia-Switzerland,Croatia,Switzerland,1994,0,0E-20,0.11309523809523809524
12343,Croatia-Slovakia,Croatia,Slovakia,1994,0,0E-20,0.22222222222222222222
12344,Croatia-Romania,Croatia,Romania,1994,0,0E-20,0.07843137254901960784
12345,Croatia-Finland,Croatia,Finland,1994,0,0E-20,0.11197916666666666667
12346,Croatia-Netherlands,Croatia,Netherlands,1994,0,0E-20,0.13480392156862745098
12347,Croatia-Estonia,Croatia,Estonia,1994,0,0E-20,0.10784313725490196078
12348,Croatia-Lithuania,Croatia,Lithuania,1994,0,0E-20,0.12222222222222222222
12349,Cyprus-Ireland,Cyprus,Ireland,1994,8,0.66666666666666666667,0.28395061728395061728
12350,Cyprus-Poland,Cyprus,Poland,1994,1,0.08333333333333333333,0.06250000000000000000
12351,Cyprus-Germany,Cyprus,Germany,1994,6,0.50000000000000000000,0.11732456140350877193
12352,Cyprus-Hungary,Cyprus,Hungary,1994,0,0E-20,0.08333333333333333333
12353,Cyprus-Malta,Cyprus,Malta,1994,2,0.16666666666666666667,0.23809523809523809524
12354,Cyprus-Norway,Cyprus,Norway,1994,10,0.83333333333333333333,0.17500000000000000000
12355,Cyprus-France,Cyprus,France,1994,4,0.33333333333333333333,0.21162280701754385965
12356,Cyprus-Portugal,Cyprus,Portugal,1994,0,0E-20,0.08950617283950617284
12357,Cyprus-Russia,Cyprus,Russia,1994,3,0.25000000000000000000,0.43125000000000000000
12358,Cyprus-United Kingdom,Cyprus,United Kingdom,1994,5,0.41666666666666666667,0.18589743589743589744
12359,Cyprus-Cyprus,Cyprus,Cyprus,1994,0,0E-20,0E-20
12360,Cyprus-Iceland,Cyprus,Iceland,1994,0,0E-20,0.10069444444444444444
12361,Cyprus-Sweden,Cyprus,Sweden,1994,0,0E-20,0.25438596491228070175
12362,Cyprus-Greece,Cyprus,Greece,1994,12,1.00000000000000000000,0.93279569892473118280
12363,Cyprus-Bosnia & Herzegovina,Cyprus,Bosnia & Herzegovina,1994,0,0E-20,0.00980392156862745098
12364,Cyprus-Croatia,Cyprus,Croatia,1994,0,0E-20,0.15046296296296296296
12365,Cyprus-Austria,Cyprus,Austria,1994,7,0.58333333333333333333,0.14506172839506172839
12366,Cyprus-Spain,Cyprus,Spain,1994,0,0E-20,0.27243589743589743590
12367,Cyprus-Switzerland,Cyprus,Switzerland,1994,0,0E-20,0.18666666666666666667
12368,Cyprus-Slovakia,Cyprus,Slovakia,1994,0,0E-20,0E-20
12369,Cyprus-Romania,Cyprus,Romania,1994,0,0E-20,0.26388888888888888889
12370,Cyprus-Finland,Cyprus,Finland,1994,0,0E-20,0.09722222222222222222
12371,Cyprus-Netherlands,Cyprus,Netherlands,1994,0,0E-20,0.10833333333333333333
12372,Cyprus-Estonia,Cyprus,Estonia,1994,0,0E-20,0.10539215686274509804
12373,Cyprus-Lithuania,Cyprus,Lithuania,1994,0,0E-20,0.09444444444444444444
12374,Estonia-Ireland,Estonia,Ireland,1994,10,0.83333333333333333333,0.22916666666666666667
12375,Estonia-Poland,Estonia,Poland,1994,12,1.00000000000000000000,0.11666666666666666667
12376,Estonia-Germany,Estonia,Germany,1994,3,0.25000000000000000000,0.14197530864197530864
12377,Estonia-Hungary,Estonia,Hungary,1994,4,0.33333333333333333333,0.26282051282051282051
12378,Estonia-Malta,Estonia,Malta,1994,7,0.58333333333333333333,0.17324561403508771930
12379,Estonia-Norway,Estonia,Norway,1994,8,0.66666666666666666667,0.33159722222222222222
12380,Estonia-France,Estonia,France,1994,6,0.50000000000000000000,0.16369047619047619048
12381,Estonia-Portugal,Estonia,Portugal,1994,0,0E-20,0.10833333333333333333
12382,Estonia-Russia,Estonia,Russia,1994,1,0.08333333333333333333,0.67063492063492063492
12383,Estonia-United Kingdom,Estonia,United Kingdom,1994,5,0.41666666666666666667,0.15773809523809523810
12384,Estonia-Cyprus,Estonia,Cyprus,1994,0,0E-20,0.09429824561403508772
12385,Estonia-Iceland,Estonia,Iceland,1994,0,0E-20,0.27314814814814814815
12386,Estonia-Sweden,Estonia,Sweden,1994,2,0.16666666666666666667,0.55401234567901234568
12387,Estonia-Greece,Estonia,Greece,1994,0,0E-20,0.05434782608695652174
12388,Estonia-Bosnia & Herzegovina,Estonia,Bosnia & Herzegovina,1994,0,0E-20,0E-20
12389,Estonia-Croatia,Estonia,Croatia,1994,0,0E-20,0.06862745098039215686
12390,Estonia-Austria,Estonia,Austria,1994,0,0E-20,0.20555555555555555556
12391,Estonia-Spain,Estonia,Spain,1994,0,0E-20,0.04315476190476190476
12392,Estonia-Switzerland,Estonia,Switzerland,1994,0,0E-20,0.16666666666666666667
12393,Estonia-Slovakia,Estonia,Slovakia,1994,0,0E-20,0E-20
12394,Estonia-Romania,Estonia,Romania,1994,0,0E-20,0.03508771929824561403
12395,Estonia-Finland,Estonia,Finland,1994,0,0E-20,0.52083333333333333333
12396,Estonia-Netherlands,Estonia,Netherlands,1994,0,0E-20,0.20098039215686274510
12397,Estonia-Estonia,Estonia,Estonia,1994,0,0E-20,0E-20
12398,Estonia-Lithuania,Estonia,Lithuania,1994,0,0E-20,0.25260416666666666667
12399,Finland-Ireland,Finland,Ireland,1994,7,0.58333333333333333333,0.25641025641025641026
12400,Finland-Poland,Finland,Poland,1994,8,0.66666666666666666667,0.07954545454545454545
12401,Finland-Germany,Finland,Germany,1994,3,0.25000000000000000000,0.14696969696969696970
12402,Finland-Hungary,Finland,Hungary,1994,12,1.00000000000000000000,0.38194444444444444444
12403,Finland-Malta,Finland,Malta,1994,6,0.50000000000000000000,0.15277777777777777778
12404,Finland-Norway,Finland,Norway,1994,0,0E-20,0.23157051282051282051
12405,Finland-France,Finland,France,1994,0,0E-20,0.21373456790123456790
12406,Finland-Portugal,Finland,Portugal,1994,5,0.41666666666666666667,0.10729166666666666667
12407,Finland-Russia,Finland,Russia,1994,0,0E-20,0.32638888888888888889
12408,Finland-United Kingdom,Finland,United Kingdom,1994,0,0E-20,0.22470238095238095238
12409,Finland-Cyprus,Finland,Cyprus,1994,10,0.83333333333333333333,0.18452380952380952381
12410,Finland-Iceland,Finland,Iceland,1994,1,0.08333333333333333333,0.25757575757575757576
12411,Finland-Sweden,Finland,Sweden,1994,0,0E-20,0.42374213836477987421
12412,Finland-Greece,Finland,Greece,1994,4,0.33333333333333333333,0.13425925925925925926
12413,Finland-Bosnia & Herzegovina,Finland,Bosnia & Herzegovina,1994,2,0.16666666666666666667,0.16025641025641025641
12414,Finland-Croatia,Finland,Croatia,1994,0,0E-20,0.07738095238095238095
12415,Finland-Austria,Finland,Austria,1994,0,0E-20,0.12291666666666666667
12416,Finland-Spain,Finland,Spain,1994,0,0E-20,0.14955357142857142857
12417,Finland-Switzerland,Finland,Switzerland,1994,0,0E-20,0.24537037037037037037
12418,Finland-Slovakia,Finland,Slovakia,1994,0,0E-20,0E-20
12419,Finland-Romania,Finland,Romania,1994,0,0E-20,0.03472222222222222222
12420,Finland-Finland,Finland,Finland,1994,0,0E-20,0E-20
12421,Finland-Netherlands,Finland,Netherlands,1994,0,0E-20,0.18410852713178294574
12422,Finland-Estonia,Finland,Estonia,1994,0,0E-20,0.62500000000000000000
12423,Finland-Lithuania,Finland,Lithuania,1994,0,0E-20,0.09523809523809523810
12424,France-Ireland,France,Ireland,1994,8,0.66666666666666666667,0.23158914728682170543
12425,France-Poland,France,Poland,1994,12,1.00000000000000000000,0.21354166666666666667
12426,France-Germany,France,Germany,1994,0,0E-20,0.19841269841269841270
12427,France-Hungary,France,Hungary,1994,7,0.58333333333333333333,0.11904761904761904762
12428,France-Malta,France,Malta,1994,0,0E-20,0.15064102564102564103
12429,France-Norway,France,Norway,1994,0,0E-20,0.10714285714285714286
12430,France-France,France,France,1994,0,0E-20,0E-20
12431,France-Portugal,France,Portugal,1994,6,0.50000000000000000000,0.36531007751937984496
12432,France-Russia,France,Russia,1994,1,0.08333333333333333333,0.18181818181818181818
12433,France-United Kingdom,France,United Kingdom,1994,0,0E-20,0.26322751322751322751
12434,France-Cyprus,France,Cyprus,1994,3,0.25000000000000000000,0.09811827956989247312
12435,France-Iceland,France,Iceland,1994,4,0.33333333333333333333,0.06944444444444444444
12436,France-Sweden,France,Sweden,1994,0,0E-20,0.20056497175141242938
12437,France-Greece,France,Greece,1994,0,0E-20,0.21688034188034188034
12438,France-Bosnia & Herzegovina,France,Bosnia & Herzegovina,1994,10,0.83333333333333333333,0.18055555555555555556
12439,France-Croatia,France,Croatia,1994,0,0E-20,0.10087719298245614035
12440,France-Austria,France,Austria,1994,0,0E-20,0.14893617021276595745
12441,France-Spain,France,Spain,1994,2,0.16666666666666666667,0.25000000000000000000
12442,France-Switzerland,France,Switzerland,1994,5,0.41666666666666666667,0.18027210884353741497
12443,France-Slovakia,France,Slovakia,1994,0,0E-20,0E-20
12444,France-Romania,France,Romania,1994,0,0E-20,0.17324561403508771930
12445,France-Finland,France,Finland,1994,0,0E-20,0.10416666666666666667
12446,France-Netherlands,France,Netherlands,1994,0,0E-20,0.23833333333333333333
12447,France-Estonia,France,Estonia,1994,0,0E-20,0.15972222222222222222
12448,France-Lithuania,France,Lithuania,1994,0,0E-20,0.01562500000000000000
12449,Germany-Ireland,Germany,Ireland,1994,12,1.00000000000000000000,0.29640151515151515151
12450,Germany-Poland,Germany,Poland,1994,10,0.83333333333333333333,0.37777777777777777778
12451,Germany-Germany,Germany,Germany,1994,0,0E-20,0E-20
12452,Germany-Hungary,Germany,Hungary,1994,7,0.58333333333333333333,0.17857142857142857143
12453,Germany-Malta,Germany,Malta,1994,3,0.25000000000000000000,0.23500000000000000000
12454,Germany-Norway,Germany,Norway,1994,2,0.16666666666666666667,0.20248538011695906433
12455,Germany-France,Germany,France,1994,8,0.66666666666666666667,0.22222222222222222222
12456,Germany-Portugal,Germany,Portugal,1994,0,0E-20,0.12689393939393939394
12457,Germany-Russia,Germany,Russia,1994,6,0.50000000000000000000,0.30871212121212121212
12458,Germany-United Kingdom,Germany,United Kingdom,1994,4,0.33333333333333333333,0.25065104166666666667
12459,Germany-Cyprus,Germany,Cyprus,1994,0,0E-20,0.10483870967741935484
12460,Germany-Iceland,Germany,Iceland,1994,0,0E-20,0.17467948717948717949
12461,Germany-Sweden,Germany,Sweden,1994,5,0.41666666666666666667,0.26250000000000000000
12462,Germany-Greece,Germany,Greece,1994,1,0.08333333333333333333,0.22222222222222222222
12463,Germany-Bosnia & Herzegovina,Germany,Bosnia & Herzegovina,1994,0,0E-20,0.17156862745098039216
12464,Germany-Croatia,Germany,Croatia,1994,0,0E-20,0.22453703703703703704
12465,Germany-Austria,Germany,Austria,1994,0,0E-20,0.15602836879432624113
12466,Germany-Spain,Germany,Spain,1994,0,0E-20,0.16734972677595628415
12467,Germany-Switzerland,Germany,Switzerland,1994,0,0E-20,0.20750000000000000000
12468,Germany-Slovakia,Germany,Slovakia,1994,0,0E-20,0E-20
12469,Germany-Romania,Germany,Romania,1994,0,0E-20,0.05921052631578947368
12470,Germany-Finland,Germany,Finland,1994,0,0E-20,0.13829787234042553191
12471,Germany-Netherlands,Germany,Netherlands,1994,0,0E-20,0.21813725490196078431
12472,Germany-Estonia,Germany,Estonia,1994,0,0E-20,0.22058823529411764706
12473,Germany-Lithuania,Germany,Lithuania,1994,0,0E-20,0.06510416666666666667
12474,Greece-Ireland,Greece,Ireland,1994,0,0E-20,0.27500000000000000000
12475,Greece-Poland,Greece,Poland,1994,0,0E-20,0.15833333333333333333
12476,Greece-Germany,Greece,Germany,1994,0,0E-20,0.07142857142857142857
12477,Greece-Hungary,Greece,Hungary,1994,0,0E-20,0.09226190476190476191
12478,Greece-Malta,Greece,Malta,1994,7,0.58333333333333333333,0.28968253968253968254
12479,Greece-Norway,Greece,Norway,1994,1,0.08333333333333333333,0.13995726495726495726
12480,Greece-France,Greece,France,1994,0,0E-20,0.28670634920634920635
12481,Greece-Portugal,Greece,Portugal,1994,0,0E-20,0.15322580645161290323
12482,Greece-Russia,Greece,Russia,1994,4,0.33333333333333333333,0.35912698412698412698
12483,Greece-United Kingdom,Greece,United Kingdom,1994,0,0E-20,0.17054263565891472868
12484,Greece-Cyprus,Greece,Cyprus,1994,12,1.00000000000000000000,0.86728395061728395062
12485,Greece-Iceland,Greece,Iceland,1994,0,0E-20,0.10416666666666666667
12486,Greece-Sweden,Greece,Sweden,1994,0,0E-20,0.13109756097560975610
12487,Greece-Greece,Greece,Greece,1994,0,0E-20,0E-20
12488,Greece-Bosnia & Herzegovina,Greece,Bosnia & Herzegovina,1994,0,0E-20,0.04411764705882352941
12489,Greece-Croatia,Greece,Croatia,1994,5,0.41666666666666666667,0.15196078431372549020
12490,Greece-Austria,Greece,Austria,1994,0,0E-20,0.22701149425287356322
12491,Greece-Spain,Greece,Spain,1994,8,0.66666666666666666667,0.28585271317829457364
12492,Greece-Switzerland,Greece,Switzerland,1994,0,0E-20,0.19109195402298850575
12493,Greece-Slovakia,Greece,Slovakia,1994,3,0.25000000000000000000,0.19444444444444444444
12494,Greece-Romania,Greece,Romania,1994,6,0.50000000000000000000,0.28240740740740740741
12495,Greece-Finland,Greece,Finland,1994,10,0.83333333333333333333,0.18010752688172043011
12496,Greece-Netherlands,Greece,Netherlands,1994,0,0E-20,0.18678160919540229885
12497,Greece-Estonia,Greece,Estonia,1994,2,0.16666666666666666667,0.11718750000000000000
12498,Greece-Lithuania,Greece,Lithuania,1994,0,0E-20,0.02222222222222222222
12499,Hungary-Ireland,Hungary,Ireland,1994,10,0.83333333333333333333,0.23611111111111111111
12500,Hungary-Poland,Hungary,Poland,1994,8,0.66666666666666666667,0.23148148148148148148
12501,Hungary-Germany,Hungary,Germany,1994,12,1.00000000000000000000,0.11519607843137254902
12502,Hungary-Hungary,Hungary,Hungary,1994,0,0E-20,0E-20
12503,Hungary-Malta,Hungary,Malta,1994,0,0E-20,0.18939393939393939394
12504,Hungary-Norway,Hungary,Norway,1994,5,0.41666666666666666667,0.29464285714285714286
12505,Hungary-France,Hungary,France,1994,0,0E-20,0.06617647058823529412
